path,current_classification,reference_type,current_reference_count,active_runtime_reference_count,config_reference_count,test_fixture_reference_count,doc_reference_count,audit_hygiene_reference_count,report_history_reference_count,handoff_history_reference_count,recommended_action,reason,protected_keep,cleanup_candidate,manual_review_required,cleanup_eligible_now,dry_run_cleanup_safe_next,actual_cleanup_allowed,reference_examples
data/dbn,protected_keep_path,protected_keep_path,,0,0,0,0,0,0,0,keep,canonical DBN source evidence root is explicitly protected,true,false,false,true,true,false,protected_keep:active objective
data/raw,protected_keep_path,protected_raw_root,,1,1,0,0,0,0,0,keep,raw parquet derivative root remains unsafe/protected; only specific reviewed repair-candidate child is a future candidate,true,false,false,true,true,false,config:configs/data_manifest.yaml raw_parquet_pattern; runtime canonical raw consumers
data/raw/ES,protected_keep_path,protected_raw_child,,0,0,0,0,0,0,0,keep,explicit protected child path under data/raw,true,false,false,true,true,false,protected_keep:active objective
data/raw/RTY,protected_keep_path,protected_raw_child,,0,0,0,0,0,0,0,keep,explicit protected child path under data/raw,true,false,false,true,true,false,protected_keep:active objective
data/raw/ZS,protected_keep_path,protected_raw_child,,0,0,0,0,0,0,0,keep,explicit protected child path under data/raw,true,false,false,true,true,false,protected_keep:active objective
data/causal_base_candidates/tier1_rebuild_v1,protected_keep_path,approved_rebuilt_root,,2,1,3,0,0,1,0,keep,approved rebuilt tier1 causal root is explicitly protected and is now the active causal policy root,true,false,false,true,true,false,config:configs/data_manifest.yaml:11; runtime:scripts/audit_databento_phase5.py:43; runtime:scripts/phase3_labels/build_labels.py:28
data/labeled/tier1_rebuild_v1,protected_keep_path,approved_rebuilt_root,,0,0,0,0,0,0,0,keep,approved rebuilt tier1 labels root is explicitly protected,true,false,false,true,true,false,protected_keep:active objective
data/feature_matrices/baseline_tier1_rebuild_v1,protected_keep_path,approved_rebuilt_root,,0,0,4,0,0,0,0,keep,approved rebuilt tier1 feature root is explicitly protected,true,false,false,true,true,false,test:tests/phase5_wfa/test_build_wfa_splits.py:226
reports/data_audit/**,protected_keep_path,audit_evidence_root,,0,0,0,0,0,1,0,keep,audit evidence root is explicitly protected,true,false,false,true,true,false,protected_keep:active objective
data/causally_gated_normalized,legacy_candidate_future_quarantine_plan_only,retired_policy_reference_with_scanner_guard_test_history,,0,0,many,1,4,many,history_only,future_quarantine_plan_only_after_dry_run_approval,"active manifest and Phase 5 approved-base policy were retired in favor of data/causal_base_candidates/tier1_rebuild_v1; remaining refs are scanner/classifier, hygiene guard, test fixture, doc/help, or report history",false,true_after_dry_run_approval,false,true,true,false,retired:configs/data_manifest.yaml:11; retired:scripts/audit_databento_phase5.py:315; guard:scripts/check_git_hygiene.py:28; scanner:scripts/audit_databento_phase0.py:38; scanner:scripts/audit_databento_phase4.py:39
data/raw/_repair_candidates,candidate_future_quarantine_plan_only,specific_raw_child_cleanup_candidate_after_approval,,0,1,0,0,0,history_only,history_only,future_quarantine_plan_only_after_dry_run_approval,specific raw repair-candidate subtree reviewed as inactive in runtime use; cleanup still requires dry-run and explicit approval,false,true_after_dry_run_approval,false,true,true,false,config:configs/data_manifest.yaml artifact_policy exclusion classification=CLEANUP_CANDIDATE_AFTER_APPROVAL
data/feature_matrices/baseline,candidate_future_quarantine_plan_only,audit_help_or_protective_guard_reference,,0,0,1,1,1,history_only,history_only,future_quarantine_plan_only_after_dry_run_approval,central active defaults were retired; remaining refs are scanner/docs/protective guards or approved rebuilt child references,false,true_after_dry_run_approval,false,true,true,false,protective_guard:scripts/phase7_wfa/run_wfa.py; approved_child:data/feature_matrices/baseline_tier1_rebuild_v1
data/predictions,candidate_future_quarantine_plan_only,audit_help_reference,,0,0,0,0,1,history_only,history_only,future_quarantine_plan_only_after_dry_run_approval,"prediction defaults were retired; remaining references are help text, hygiene scanners, or report history",false,true_after_dry_run_approval,false,true,true,false,hygiene:scripts/check_git_hygiene.py; reports:data_audit history
data/dbn_sr_parent_candidate,candidate_future_quarantine_plan_only,report_history_reference,,0,0,0,0,0,history_only,history_only,future_quarantine_plan_only_after_dry_run_approval,active classifier literal was retired; current evidence is report history only,false,true_after_dry_run_approval,false,true,true,false,report_history:reports/data_audit/**
